"","other","surveil","adshex","squawk_1","name","reg"
"1",0,1,"A005D8",5011,,
"2",0,1,"A008A4",0,"COSTAR FIELD RESEARCH LLC","N101CG"
"3",0,1,"A00948",0,"TAUN-TAUN TRANSPORTATION LLC","N101JW"
"4",0,1,"A00A41",204,"VERTICAL AIR INC","N101UV"
"5",0,1,"A00DC7",1200,"DAVID LEE AIRCRAFT SALES AND LEASING LLC","N102SW"
"6",0,1,"A014B2",0,"L C WHITFORD CO INC","N104MQ"
"7",0,1,"A02BC4",0,,
"8",0,1,"A0371C",0,"ARNE AVIATION LLC","N1128L"
"9",0,1,"A03916",0,"D'ANTONI GARY L","N113TW"
"10",0,1,"A067A2",5356,"STRAIGHT FLIGHT NEVADA COMMERCIAL LEASING LLC","N125PZ"
"11",0,1,"A0761C",0,"SKY LIFT AVIATION LLC","N129LA"
"12",0,1,"A07BEE",1200,,
"13",0,1,"A0B602",1200,"NEUFELD MARK W","N145HR"
"14",0,1,"A0F655",0,"OREGON COAST HOLDINGS LLC","N161KQ"
"15",0,1,"A13098",4415,,
"16",0,1,"A13A84",163,"E D A S EARLY DETECTION ALARM CO","N1789M"
"17",0,1,"A144AF",5103,,
"18",0,1,"A149C4",0,"COLOHAN CHRISTOPHER BRIAN","N182TA"
"19",0,1,"A19EBE",4621,"DIRECT ACTION AVIATION LLC","N203SF"
"20",0,1,"A1AE66",27,"BROOKLYN AIRCRAFT INC","N2070K"
"21",0,1,"A1B621",5240,"MIDWEST AIRMOTIVE INC","N2092S"
"22",0,1,"A1EC31",0,"WIN WIN AVIATION INC","N223AL"
"23",0,1,"A2465B",0,"LLOYD V OREE INC","N246AT"
"24",0,1,"A248EE",0,"WINGED VISION INC","N2462G"
"25",0,1,"A263E8",1200,"YAGUES KEVIN B","N253P"
"26",0,1,"A2791B",0,"PINAL COUNTY SHERIFFS OFFICE","N259BW"
"27",0,1,"A287FC",0,"SUNDANCE AIRPORT LLC","N262SA"
"28",0,1,"A2F434",0,,
"29",0,1,"A31E37",1206,"CITY OF ONTARIO","N30NT"
"30",0,1,"A37250",247,"JUMP RUN AVIATION LLC","N321CY"
